ClientID,LastName,FirstName,Address,City,State,ZIP,Email,Phone,ExpectedGraduation,CollegeID,LoanAmount,Comments
001002,Hussein,Rabiah,1976 Galleon Way,Fair Haven,NJ,07704,rahussein28832@live.com,600-264-7907,2020,CAM001,7010,
001003,Luo,Hong,165 Norton Boulevard,Jersey City,NJ,07303,hluo25023@hotmail.com,224-930-7192,2019,BLO001,14850,
001006,Ramirez,Javier,2230 Davis Road,Caldwell,NJ,07007,javramirez18105@hotmail.com,300-468-1094,2019,CAM001,9970,
001007,Song,Myung,693 Moonlight Lane,Montville,NJ,07045,msong22674@live.com,950-338-7415,2018,ATL001,8880,
001014,Zhao,Jiao,1087 Brittany Court,Bloomfield,NJ,07003,jzhao21097@zohomail.com,959-264-8227,2019,BRO001,7000,
001022,Hamieh,Casilda,751 Yar Road,North Bergen,NJ,07047,cashamieh20255@aol.com,351-721-1894,2019,MER001,7620,
001024,Ramirez,Alejandro,627 King Arthur Boulevard,Westfield,NJ,07091,aramirez29743@hotmail.com,711-833-6926,2020,BLO001,19450,
001034,Jhadav,Kumar,1331 Edward Avenue,Haledon,NJ,07508,kujhadav24231@yahoo.com,300-782-1656,2018,ROW002,7400,
001039,Kwon,Nam,1772 Dane Highway,Newark,NJ,07114,nakwon16905@mail.com,976-252-3573,2018,MID001,6340,
001047,Tanaka,Takeshi,1576 Snead Street,Jersey City,NJ,07307,ttanaka23701@hotmail.com,833-218-8316,2020,ESS001,5440,
001054,Hong,Yon,2114 Penguin Avenue,Jersey City,NJ,07303,yhong11605@zohomail.com,969-574-2544,2019,MID001,2530,
001063,Ito,Kiyoshi,1837 Tokositna Way,Fairfield,NJ,07004,kiyito18713@gmail.com,711-592-7922,2018,SET001,36220,
001073,Hamieh,Mouna,1317 List Road,Newark,NJ,07193,mouhamieh14649@mail.com,600-459-8783,2020,OCE001,8500,
001075,Li,Li,1208 Kilkenny Road,Jersey City,NJ,07304,lili17826@zohomail.com,327-771-3062,2018,COU001,2560,
001083,Yamamoto,Takashi,985 Shamrock Court,Irvington,NJ,07111,tayamamoto17891@optonline.net,424-824-5848,2020,PRI001,27240,
001085,Hayashi,Yoshio,1961 Astonshire Road,Wayne,NJ,07470,yhayashi10031@optonline.net,976-954-9592,2018,COL001,2480,
001095,Reyes,Alfredo,2248 Concourse Road,Montville,NJ,07045,areyes11816@ymail.com,351-705-7519,2019,PAS001,7210,
001102,Han,Mee,1659 Snug Harbor Avenue,Glenwood,NJ,07418,meehan19893@mail.com,959-588-4420,2018,STO001,3880,
001109,Davis,Dorothy,1890 Pelican Road,Clifton,NJ,07011,dordavis20531@hotmail.com,969-963-9109,2018,OCE001,4430,
001113,Yamaguchi,Takashi,2167 Muley Circle,Fair Lawn,NJ,07410,tayamaguchi23257@live.com,424-483-3895,2019,SUS001,4700,
001115,Atshan,Loelia,2030 Cotton Grass Way,Hawthorne,NJ,07506,latshan15480@optonline.net,711-902-1605,2020,RUT001,19650,
001122,Hayek,Rabiah,1270 Amherst Place,South Orange,NJ,07079,rahayek27170@hotmail.com,351-902-7882,2019,COU001,3670,
001129,Saito,Yasuo,153 Totowa Avenue,Mountain Lakes,NJ,07046,yasaito29280@gmail.com,958-878-2833,2018,THO001,14780,
001137,Han,Kyu,1272 Alascom Boulevard,Bloomfield,NJ,07003,khan20969@mail.com,958-842-9364,2019,MER001,7290,
001146,Pawar,Karthik,1205 Manhattan Lane,Elizabeth,NJ,07202,kapawar22345@optonline.net,857-296-2627,2018,CEN001,29670,
001152,Chavez,Alejandro,2046 Denali Place,Avenel,NJ,07001,achavez22120@hotmail.com,833-381-1862,2020,THE001,15030,
001154,Nayar,Jasmine,2120 Cundiff Way,Newark,NJ,07193,jasnayar21112@zohomail.com,976-417-1824,2019,WAR001,7150,
001161,Sanchez,Ricardo,530 Anawana Boulevard,Newark,NJ,07199,rsanchez14261@gmail.com,351-959-1519,2019,UNI001,2110,
001162,Hamieh,Cala,2265 Sommers Lane,Glenwood,NJ,07418,cahamieh12082@yahoo.com,833-357-8418,2018,ROW001,14940,
